Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,82,242.7,36.8,84.2,.437,5.4,15.2,.359,31.3,69.1,.454,18.7,24.5,.760,13.1,29.5,42.6,21.6,9.0,5.0,13.0,20.3,97.6
2,Boston Celtics*,82,241.8,34.2,78.7,.435,5.6,17.1,.331,28.5,61.6,.464,19.0,25.4,.749,11.4,33.5,45.0,22.2,7.5,4.5,16.0,21.9,93.1
3,Chicago Bulls,82,243.0,36.5,83.1,.439,5.3,16.3,.323,31.2,66.9,.467,21.9,29.2,.749,13.6,31.4,45.0,23.8,9.4,5.0,14.7,21.9,100.1
4,Cleveland Cavaliers,82,241.8,37.5,82.8,.453,5.2,14.6,.358,32.2,68.2,.473,20.9,27.1,.772,11.4,30.4,41.7,24.0,9.8,6.0,14.2,20.8,101.0
5,Dallas Mavericks*,82,241.2,35.7,81.5,.438,5.8,17.1,.340,29.9,64.5,.463,18.0,24.8,.727,12.7,32.7,45.5,21.7,6.7,3.9,16.0,21.3,95.2
6,Denver Nuggets,82,240.6,32.9,74.2,.443,5.1,13.8,.370,27.8,60.4,.460,21.6,28.5,.757,10.5,29.8,40.3,21.5,9.0,6.6,17.1,21.8,92.4
7,Detroit Pistons*,82,242.7,33.5,76.5,.438,3.5,10.2,.344,29.9,66.2,.452,17.2,23.1,.746,10.5,30.8,41.3,18.3,6.9,4.3,14.0,23.2,87.7
8,Golden State Warriors,82,240.9,39.5,87.5,.452,5.3,14.4,.372,34.2,73.1,.467,19.2,25.4,.756,14.7,29.1,43.8,23.6,8.7,6.0,13.7,23.6,103.6
9,Houston Rockets,82,243.0,35.3,81.5,.433,4.7,13.6,.347,30.5,67.9,.450,17.1,22.0,.775,11.9,28.7,40.6,20.5,8.1,4.6,13.2,21.9,92.3
10,Indiana Pacers*,82,242.7,34.9,81.6,.428,5.0,14.6,.340,29.9,67.0,.447,18.6,24.3,.767,12.3,30.0,42.2,20.7,7.6,6.3,15.3,23.5,93.3
11,Los Angeles Clippers,82,240.9,37.0,82.8,.447,5.5,15.2,.365,31.5,67.6,.466,18.4,23.7,.774,12.8,30.0,42.8,22.4,8.0,5.1,14.0,22.5,97.9
12,Los Angeles Lakers*,82,243.0,36.3,82.0,.443,5.7,14.9,.380,30.6,67.1,.456,19.8,26.0,.760,11.7,30.4,42.1,21.4,7.9,3.8,14.5,23.4,98.0
13,Memphis Grizzlies,82,243.0,39.3,85.5,.460,5.3,14.5,.363,34.1,71.0,.480,16.8,22.2,.759,13.7,31.2,44.9,24.3,8.7,5.2,14.8,21.7,100.7
14,Miami Heat,82,241.8,33.1,75.7,.437,5.0,14.0,.353,28.1,61.7,.456,19.5,26.0,.751,10.6,31.5,42.2,18.1,7.6,5.3,14.3,20.4,90.6
15,Milwaukee Bucks*,82,242.7,37.1,81.0,.458,5.8,15.6,.375,31.3,65.4,.478,19.2,25.8,.745,12.5,31.0,43.4,23.1,6.6,4.1,14.4,20.5,99.3
16,Minnesota Timberwolves*,82,241.5,36.6,83.8,.437,5.8,16.6,.347,30.9,67.2,.460,17.0,22.6,.752,11.9,29.8,41.7,22.8,7.0,4.9,13.6,20.6,96.0
17,New Jersey Nets*,82,240.9,33.6,78.8,.427,5.2,14.5,.359,28.4,64.3,.442,17.7,23.7,.749,11.4,30.0,41.4,19.6,8.5,5.2,16.6,22.9,90.1
18,New Orleans Hornets*,82,242.7,34.8,79.5,.438,4.1,12.2,.338,30.7,67.3,.457,18.0,23.5,.766,11.1,28.9,40.0,19.9,7.9,5.2,14.6,21.4,91.8
19,New York Knicks,82,242.1,36.1,79.0,.457,4.4,12.8,.340,31.7,66.2,.480,20.6,26.7,.771,11.4,31.9,43.3,21.1,7.6,3.8,14.4,19.9,97.2
20,Orlando Magic*,82,241.5,36.7,80.5,.455,4.9,14.8,.334,31.7,65.7,.483,20.1,26.2,.767,11.8,31.7,43.5,22.4,7.8,5.0,16.4,22.2,98.4
21,Philadelphia 76ers*,82,242.1,35.1,77.6,.452,5.5,15.6,.354,29.5,62.0,.476,18.9,24.8,.760,11.1,29.3,40.3,22.1,7.8,6.4,17.1,23.0,94.5
22,Phoenix Suns*,82,241.5,35.5,81.2,.438,5.3,16.6,.320,30.2,64.6,.468,18.0,23.6,.766,12.6,30.3,42.9,22.2,7.8,5.5,16.0,21.5,94.4
23,Portland Trail Blazers*,82,242.1,35.9,79.8,.450,5.3,15.7,.341,30.5,64.1,.476,15.5,20.2,.764,11.1,28.0,39.1,22.7,8.3,4.8,15.5,20.4,92.5
24,Sacramento Kings*,82,241.8,36.5,86.9,.420,4.5,14.2,.320,31.9,72.7,.439,17.7,23.9,.741,14.0,31.9,45.8,21.5,8.3,4.3,15.4,19.9,95.2
25,San Antonio Spurs*,82,241.8,34.9,81.7,.427,4.3,12.7,.339,30.6,69.0,.443,16.3,21.2,.768,12.5,28.3,40.9,19.0,8.1,5.1,15.0,23.4,90.4
26,Seattle SuperSonics,82,242.1,35.0,78.3,.447,5.8,16.7,.344,29.3,61.6,.475,16.5,22.2,.742,11.4,30.0,41.5,20.8,6.1,5.0,14.7,20.4,92.3
27,Toronto Raptors,82,241.5,37.0,80.4,.461,4.5,12.0,.375,32.5,68.4,.476,18.2,24.0,.759,11.9,31.7,43.6,21.1,7.4,5.0,13.7,20.8,96.8
28,Utah Jazz*,82,241.2,33.5,77.4,.434,5.3,15.3,.349,28.2,62.1,.454,19.8,26.1,.759,12.3,25.9,38.2,19.5,8.8,5.2,15.9,23.8,92.3
29,Washington Wizards,82,241.8,35.1,79.4,.442,5.5,15.1,.362,29.6,64.2,.461,16.9,21.9,.771,11.6,29.8,41.4,21.7,7.5,4.4,14.3,22.0,92.5
,League Average,82,242.0,35.7,80.8,.442,5.1,14.7,.349,30.6,66.1,.463,18.5,24.4,.758,12.0,30.3,42.3,21.5,7.9,5.0,14.9,21.8,95.1
