,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Milwaukee Bucks,27.6,10,5,0.667,11,4,111.1,102.5,8.6,100.1,0.317,0.431,0.56,,0.523,11.3,21.5,0.231,,0.474,10.8,83,0.207
2,Toronto Raptors,28.4,16,8,0.667,16,8,110,104.4,5.6,96,0.275,0.406,0.561,,0.514,11.2,18.9,0.228,,0.491,14,77.7,0.233
3,Golden State Warriors,29.1,14,8,0.636,13,9,115.3,111.9,3.4,98.1,0.282,0.38,0.589,,0.548,13.3,24.8,0.23,,0.522,13.1,76.6,0.243
4,Houston Rockets,29.5,6,5,0.545,7,4,110.9,107.6,3.3,97,0.29,0.51,0.574,,0.537,14.3,23.1,0.221,,0.499,12.9,75,0.217
5,Philadelphia 76ers,27.2,7,5,0.583,7,5,109.9,106.8,3.1,98.9,0.301,0.331,0.559,,0.514,14.4,27.2,0.238,,0.488,11.4,79.5,0.246
6,Denver Nuggets,25.4,7,7,0.5,8,6,114.4,112.5,1.9,92.6,0.279,0.308,0.538,,0.495,8.7,27.3,0.218,,0.497,8.8,74.8,0.212
7,Boston Celtics,26.2,5,4,0.556,4,5,102.2,103.6,-1.4,99.9,0.288,0.392,0.539,,0.491,13.5,16.6,0.231,,0.491,10.9,82.4,0.199
8,Portland Trail Blazers,26.6,8,8,0.5,7,9,110.6,112,-1.4,96,0.274,0.363,0.541,,0.501,11.3,24.4,0.21,,0.503,11.3,72.4,0.234
9,San Antonio Spurs,28.3,3,4,0.429,3,4,112.4,114.5,-2.1,91.9,0.27,0.233,0.542,,0.503,8.1,24.2,0.208,,0.516,8.7,76.8,0.177
10,Oklahoma City Thunder,26.2,1,4,0.2,2,3,105.4,111.2,-5.8,99.9,0.295,0.365,0.541,,0.5,13.5,22.7,0.223,,0.519,12.7,75.7,0.209
11,Indiana Pacers,27.7,0,4,0,1,3,96.3,104.2,-7.9,95.3,0.246,0.356,0.496,,0.461,11.5,16.6,0.177,,0.517,15.2,81.1,0.206
12,Utah Jazz,27,1,4,0.2,1,4,99.2,108.5,-9.3,98.6,0.296,0.414,0.501,,0.455,13.5,24.9,0.222,,0.526,13.8,80.5,0.219
13,Los Angeles Clippers,26.7,2,4,0.333,1,5,111.5,121,-9.5,102.9,0.323,0.355,0.563,,0.511,12.8,21.9,0.264,,0.574,12.5,74.5,0.251
14,Brooklyn Nets,25.3,1,4,0.2,1,4,106.7,117.3,-10.6,104.4,0.319,0.372,0.534,,0.48,12,22.6,0.258,,0.542,13.3,67.9,0.23
15,Orlando Magic,25.9,1,4,0.2,1,4,96.2,111.2,-15,95.7,0.267,0.419,0.496,,0.451,14.4,20.3,0.207,,0.55,11.8,82.8,0.161
16,Detroit Pistons,26.5,0,4,0,0,4,96.8,120.2,-23.4,101.3,0.171,0.344,0.471,,0.444,9.2,19.8,0.124,,0.583,12.8,76.4,0.246
,League Average,27.5,,,,5,5,109.4,109.4,,97.5,0.284,0.379,0.55,,0.508,12,22.7,0.223,,0.508,12,77.3,0.223
