,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,#NAME?
Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2022-23,NBA,Jaren Jackson Jr.,(V),23,MEM,63,28.4,18.6,6.8,1,1,3,0.506,0.355,0.788,6.6,0.177,jacksja02
2021-22,NBA,Marcus Smart,(V),27,BOS,71,32.3,12.1,3.8,5.9,1.7,0.3,0.418,0.331,0.793,5.6,0.116,smartma01
2020-21,NBA,Rudy Gobert,(V),28,UTA,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0,0.623,11.3,0.248,goberru01
2019-20,NBA,Giannis Antetokounmpo,(V),25,MIL,63,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279,antetgi01
2018-19,NBA,Rudy Gobert,(V),26,UTA,81,31.8,15.9,12.9,2,0.8,2.3,0.669,,0.636,14.4,0.268,goberru01
2017-18,NBA,Rudy Gobert,(V),25,UTA,56,32.4,13.5,10.7,1.4,0.8,2.3,0.622,,0.682,8.1,0.214,goberru01
2016-17,NBA,Draymond Green,(V),26,GSW,76,32.5,10.2,7.9,7,2,1.4,0.418,0.308,0.709,8.2,0.16,greendr01
2015-16,NBA,Kawhi Leonard,(V),24,SAS,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,leonaka01
2014-15,NBA,Kawhi Leonard,(V),23,SAS,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,leonaka01
2013-14,NBA,Joakim Noah,(V),28,CHI,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,noahjo01
2012-13,NBA,Marc Gasol,(V),28,MEM,80,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,0.197,gasolma01
2011-12,NBA,Tyson Chandler,(V),29,NYK,62,33.2,11.3,9.9,0.9,0.9,1.4,0.679,0,0.689,9.5,0.22,chandty01
