Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Atlanta Hawks,82,241.8,39.2,86.1,0.455,4.5,12.4,0.367,34.6,73.7,0.469,16.8,21.9,0.769,12.8,30.2,43.0,23.0,8.0,4.9,12.2,22.3,99.7
2.0,Boston Celtics,82,240.6,36.1,76.9,0.47,4.4,12.1,0.361,31.7,64.7,0.49,23.5,31.3,0.753,10.5,30.9,41.4,21.9,7.8,5.8,17.0,23.5,100.1
3.0,Charlotte Hornets*,82,241.2,37.2,83.1,0.448,5.0,13.2,0.378,32.2,69.8,0.461,16.4,22.0,0.745,11.8,31.1,42.9,23.2,7.4,5.1,15.8,25.3,95.8
4.0,Chicago Bulls,82,241.5,35.6,78.0,0.456,4.4,12.8,0.341,31.2,65.2,0.478,18.7,25.2,0.741,12.2,29.5,41.7,23.2,10.4,5.6,15.2,24.0,94.2
5.0,Cleveland Cavaliers,82,242.1,36.4,82.1,0.443,5.1,15.0,0.342,31.3,67.2,0.465,22.6,29.1,0.776,12.4,31.5,43.9,23.7,8.0,6.1,16.9,25.1,100.5
6.0,Dallas Mavericks,82,240.6,39.3,86.0,0.457,5.2,15.2,0.345,34.1,70.8,0.481,18.1,24.5,0.74,15.3,33.2,48.4,23.2,7.4,5.1,16.1,22.1,102.0
7.0,Denver Nuggets,82,242.1,38.2,84.8,0.45,4.9,13.7,0.354,33.3,71.1,0.469,19.9,26.5,0.751,12.5,31.8,44.3,24.4,7.5,5.6,14.4,23.6,101.1
8.0,Detroit Pistons*,82,241.8,38.0,81.8,0.465,5.6,15.0,0.371,32.5,66.7,0.486,20.4,27.3,0.746,11.9,30.5,42.4,23.1,8.0,4.8,17.1,27.1,102.0
9.0,Golden State Warriors,82,240.9,38.6,82.6,0.467,5.2,14.2,0.367,33.4,68.5,0.488,21.4,28.4,0.754,13.3,32.8,46.1,24.8,8.4,6.0,16.3,23.0,103.8
10.0,Houston Rockets,82,241.8,39.3,86.3,0.456,4.3,12.1,0.354,35.1,74.2,0.473,17.4,22.3,0.779,12.5,29.9,42.4,22.7,9.0,5.3,13.7,22.4,100.3
11.0,Indiana Pacers*,82,240.6,38.0,85.1,0.446,4.0,12.3,0.327,34.0,72.9,0.466,16.8,22.2,0.755,12.7,31.0,43.7,21.2,7.4,3.9,13.7,23.3,96.7
12.0,Los Angeles Clippers,82,240.3,40.0,83.9,0.477,5.1,13.1,0.387,34.9,70.8,0.494,18.4,24.9,0.741,12.7,32.9,45.6,24.1,7.6,4.6,14.3,21.1,103.5
13.0,Los Angeles Lakers*,82,241.5,34.6,83.2,0.416,4.5,13.9,0.326,30.1,69.3,0.434,18.5,24.9,0.742,12.3,30.9,43.1,19.5,7.6,4.2,14.6,25.6,92.3
14.0,Miami Heat*,82,241.8,33.9,80.4,0.422,5.0,13.8,0.361,29.0,66.6,0.434,18.4,24.7,0.748,11.9,28.5,40.4,19.3,7.6,4.4,14.0,21.9,91.3
15.0,Milwaukee Bucks*,82,242.1,37.0,81.0,0.457,6.5,16.5,0.391,30.5,64.5,0.473,20.5,27.3,0.752,12.6,28.9,41.5,24.2,7.8,4.1,15.9,22.8,101.0
16.0,Minnesota Timberwolves*,82,242.7,35.7,80.2,0.445,4.6,13.0,0.356,31.0,67.2,0.462,20.0,26.6,0.752,11.2,29.8,40.9,21.2,7.2,4.2,15.0,20.5,96.0
17.0,New Jersey Nets,82,241.8,38.1,82.2,0.464,4.5,12.4,0.363,33.6,69.9,0.481,18.3,24.5,0.747,13.8,32.4,46.2,22.8,6.9,5.7,16.7,22.8,99.0
18.0,New York Knicks*,82,241.8,33.1,78.0,0.424,4.9,14.6,0.338,28.1,63.4,0.444,19.6,26.3,0.747,11.3,29.8,41.1,19.6,7.4,4.3,14.2,21.9,90.7
19.0,Orlando Magic,82,240.9,37.5,84.4,0.445,5.3,15.6,0.338,32.3,68.8,0.469,19.1,25.7,0.745,13.3,30.2,43.5,24.3,8.8,5.8,18.1,24.5,99.4
20.0,Philadelphia 76ers*,82,241.8,35.0,80.4,0.435,5.1,14.3,0.356,29.9,66.1,0.452,18.4,24.4,0.755,13.0,30.5,43.5,22.3,7.7,6.5,17.6,24.1,93.4
21.0,Phoenix Suns*,82,241.5,34.5,81.3,0.424,4.9,14.0,0.352,29.5,67.3,0.439,19.9,26.9,0.739,13.1,30.1,43.1,20.7,8.9,5.2,17.3,21.9,93.7
22.0,Portland Trail Blazers*,82,241.2,34.5,80.0,0.431,4.8,14.6,0.33,29.6,65.4,0.453,17.3,24.2,0.716,11.9,27.1,39.0,20.8,8.0,4.3,14.5,22.8,91.0
23.0,Sacramento Kings*,82,241.5,39.9,88.3,0.452,4.8,13.7,0.353,35.0,74.6,0.47,17.5,23.3,0.751,13.9,33.7,47.6,23.8,9.2,4.9,17.5,23.7,102.0
24.0,San Antonio Spurs*,82,242.1,35.2,82.7,0.425,4.3,12.6,0.343,30.8,70.1,0.44,15.6,21.0,0.739,12.0,29.4,41.4,20.3,7.9,5.2,14.4,23.1,90.2
25.0,Seattle SuperSonics*,82,241.2,38.2,84.6,0.451,5.4,15.8,0.34,32.8,68.9,0.477,16.4,21.9,0.748,13.2,31.8,45.1,23.6,7.2,5.3,15.3,22.4,98.1
26.0,Toronto Raptors*,82,240.9,36.6,80.7,0.454,4.2,12.5,0.339,32.4,68.2,0.475,19.9,26.0,0.764,11.7,31.1,42.8,21.8,6.8,5.3,15.2,22.9,97.3
27.0,Utah Jazz*,82,240.9,33.9,76.1,0.446,4.7,13.4,0.354,29.2,62.7,0.465,19.5,26.1,0.746,10.8,27.3,38.1,19.8,7.2,5.0,15.5,24.7,92.0
28.0,Vancouver Grizzlies,82,242.1,38.2,80.6,0.474,4.4,13.2,0.333,33.8,67.4,0.502,18.7,24.3,0.769,11.8,28.5,40.3,23.6,8.8,6.3,15.0,23.3,99.5
29.0,Washington Wizards,82,241.5,36.6,79.8,0.459,4.8,12.8,0.371,31.9,67.0,0.476,21.8,29.3,0.744,11.7,29.5,41.2,21.9,8.4,6.1,14.9,24.0,99.9
,League Average,82,241.5,36.8,82.1,0.449,4.8,13.7,0.353,32.0,68.4,0.468,19.0,25.3,0.75,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5
1.0,Atlanta Hawks,82,240.6,35.6,80.6,0.442,4.8,13.2,0.367,30.8,67.4,0.457,20.1,26.3,0.765,12.5,30.9,43.5,21.2,8.5,6.3,14.8,20.7,96.2
2.0,Boston Celtics,82,241.8,35.8,78.0,0.459,5.2,14.3,0.368,30.5,63.7,0.48,19.9,26.6,0.75,10.8,32.3,43.1,23.0,7.9,5.4,17.1,23.2,96.8
3.0,Charlotte Hornets*,82,242.4,33.7,79.3,0.426,4.7,13.2,0.36,29.0,66.1,0.439,17.6,23.3,0.756,10.9,29.7,40.6,21.3,7.5,4.6,14.7,21.6,89.8
4.0,Chicago Bulls,82,242.1,36.4,77.2,0.472,4.2,11.9,0.356,32.2,65.3,0.493,19.6,26.9,0.73,11.7,31.1,42.8,23.6,7.7,5.2,14.8,21.4,96.7
5.0,Cleveland Cavaliers,82,241.8,35.7,80.3,0.445,5.1,14.1,0.365,30.5,66.2,0.462,19.9,25.9,0.768,12.1,29.3,41.3,22.9,8.5,6.6,15.0,22.1,96.5
6.0,Dallas Mavericks*,82,241.5,35.8,81.6,0.439,4.6,13.9,0.334,31.2,67.7,0.46,19.9,27.2,0.731,13.0,32.0,45.0,21.7,7.6,4.6,15.5,22.5,96.2
7.0,Denver Nuggets,82,241.2,37.6,84.3,0.446,5.1,14.2,0.356,32.5,70.1,0.464,18.8,25.0,0.753,12.3,32.2,44.6,24.9,7.2,6.1,13.1,21.4,99.0
8.0,Detroit Pistons,82,242.1,36.3,83.5,0.434,5.2,15.0,0.348,31.1,68.5,0.453,19.5,26.5,0.736,12.3,32.6,44.9,22.7,8.2,4.8,15.5,25.1,97.3
9.0,Golden State Warriors,82,241.2,38.8,82.2,0.472,5.4,14.1,0.379,33.4,68.1,0.491,18.6,24.5,0.76,12.7,32.8,45.5,24.9,8.8,6.0,16.4,21.5,101.5
10.0,Houston Rockets,82,241.8,36.8,82.1,0.449,4.4,12.4,0.354,32.5,69.7,0.465,16.9,22.7,0.744,12.0,29.5,41.6,21.2,7.4,4.9,13.3,21.6,94.9
11.0,Indiana Pacers*,82,243.7,34.5,81.5,0.423,4.6,13.7,0.336,29.9,67.8,0.441,19.2,25.3,0.758,12.7,30.4,43.1,20.7,7.2,4.7,13.6,23.0,92.8
12.0,Los Angeles Clippers,82,244.3,36.5,82.9,0.44,4.3,13.1,0.329,32.2,69.8,0.461,18.0,24.2,0.743,12.7,29.7,42.5,21.8,7.8,5.0,12.7,21.9,95.3
13.0,Los Angeles Lakers*,82,242.7,36.4,83.1,0.438,5.0,14.2,0.354,31.3,68.9,0.455,19.5,25.8,0.754,12.0,29.4,41.3,20.2,7.5,4.0,13.1,24.4,97.2
14.0,Miami Heat*,82,242.4,32.9,76.4,0.431,4.4,13.3,0.331,28.5,63.1,0.452,16.3,22.2,0.737,11.1,30.8,42.0,17.3,7.3,5.2,15.5,22.2,86.6
15.0,Milwaukee Bucks*,82,241.2,35.5,80.8,0.439,5.4,15.2,0.352,30.2,65.6,0.46,20.5,26.7,0.768,12.4,30.4,42.7,23.0,7.2,4.3,15.5,21.7,96.9
16.0,Minnesota Timberwolves*,82,241.8,36.3,80.3,0.452,4.3,12.1,0.351,32.0,68.2,0.47,19.1,26.4,0.724,11.8,30.5,42.3,22.4,7.1,4.4,15.2,20.2,96.0
17.0,New Jersey Nets,82,240.6,35.8,78.7,0.455,5.2,14.5,0.36,30.6,64.2,0.477,20.3,27.2,0.746,12.2,32.0,44.2,22.4,7.5,6.4,15.9,22.0,97.1
18.0,New York Knicks*,82,242.7,31.3,75.1,0.417,5.4,15.4,0.352,25.9,59.7,0.434,18.0,24.6,0.733,10.6,29.5,40.1,19.2,7.3,4.1,14.8,21.4,86.1
19.0,Orlando Magic*,82,243.4,34.5,79.3,0.435,4.5,12.9,0.346,30.0,66.3,0.453,23.0,31.3,0.735,12.9,31.8,44.8,21.9,8.5,5.4,17.2,23.7,96.5
20.0,Philadelphia 76ers*,82,242.1,35.0,81.7,0.429,5.2,15.2,0.342,29.8,66.5,0.448,15.2,20.2,0.749,12.0,28.9,40.9,21.6,8.2,5.6,15.4,23.6,90.4
21.0,Phoenix Suns*,82,241.5,34.0,78.3,0.435,4.0,11.4,0.349,30.1,66.9,0.449,19.7,25.9,0.761,11.0,31.6,42.6,20.1,8.3,5.1,17.5,22.2,91.8
22.0,Portland Trail Blazers*,82,241.2,34.4,78.5,0.438,5.0,13.5,0.368,29.4,65.0,0.452,17.5,23.5,0.744,11.5,27.3,38.8,21.3,7.9,4.0,14.8,21.2,91.2
23.0,Sacramento Kings*,82,244.9,37.6,87.1,0.432,4.9,13.8,0.355,32.8,73.3,0.447,15.7,21.0,0.749,13.7,32.2,45.9,22.1,8.1,5.8,16.3,21.5,95.9
24.0,San Antonio Spurs*,82,241.8,34.6,82.6,0.419,4.2,12.7,0.329,30.4,69.8,0.435,15.0,20.3,0.741,11.8,29.7,41.5,19.7,7.3,5.2,13.5,23.7,88.4
