Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,82,241.2,37.4,81.4,.459,5.8,16.2,.355,31.6,65.2,.485,17.8,23.9,.744,12.2,30.8,43.0,22.6,8.6,6.2,15.1,20.1,98.3
2,Boston Celtics*,82,241.8,34.1,80.2,.425,6.3,18.4,.340,27.8,61.8,.450,19.7,25.5,.771,11.6,34.2,45.9,22.0,7.6,5.8,16.3,21.1,94.1
3,Charlotte Hornets*,82,240.9,34.8,80.4,.432,5.3,14.1,.375,29.5,66.3,.444,18.1,23.6,.768,11.7,29.3,41.0,20.0,7.6,5.1,13.9,20.8,92.9
4,Chicago Bulls,82,241.5,36.9,79.4,.465,5.1,14.4,.358,31.8,65.1,.488,19.0,25.5,.746,11.5,31.1,42.6,25.2,8.3,4.9,14.4,21.0,98.0
5,Cleveland Cavaliers,82,242.1,37.2,81.4,.457,5.8,14.6,.394,31.5,66.8,.471,18.4,24.6,.748,11.3,29.0,40.4,24.3,7.3,5.6,13.0,20.0,98.6
6,Dallas Mavericks*,82,242.4,37.7,83.5,.452,5.5,15.8,.350,32.2,67.8,.475,20.0,26.6,.751,13.0,31.7,44.7,22.7,7.2,4.6,14.1,21.8,101.0
7,Denver Nuggets,82,241.5,36.6,79.8,.459,5.2,14.3,.361,31.5,65.5,.481,19.5,26.1,.747,12.1,30.8,43.0,24.0,8.2,6.8,14.3,20.1,98.0
8,Detroit Pistons*,82,240.0,35.7,79.8,.447,4.4,12.1,.362,31.3,67.7,.462,16.5,21.8,.755,12.1,30.6,42.7,20.0,7.9,4.1,15.5,22.9,92.2
9,Golden State Warriors,82,241.2,39.2,85.3,.459,4.9,14.2,.348,34.3,71.1,.482,19.8,25.9,.763,13.4,29.9,43.3,24.4,8.6,6.2,14.3,23.8,103.1
10,Houston Rockets,82,243.7,38.9,83.8,.464,4.5,12.5,.360,34.4,71.3,.482,14.9,19.8,.752,12.7,30.6,43.3,22.4,7.0,5.1,12.0,20.1,97.2
11,Indiana Pacers*,82,242.7,36.3,82.9,.438,5.1,14.6,.348,31.2,68.3,.457,18.8,25.1,.749,12.8,30.7,43.4,21.6,7.5,5.7,14.3,22.6,96.5
12,Los Angeles Clippers,82,241.5,37.5,83.7,.448,5.0,14.0,.355,32.5,69.8,.466,16.2,21.7,.745,13.0,29.0,42.0,22.7,7.5,5.4,12.9,21.6,96.1
13,Los Angeles Lakers*,82,241.2,35.0,82.6,.424,4.9,15.4,.317,30.2,67.3,.448,19.2,25.3,.761,12.4,30.8,43.2,20.0,7.2,4.3,14.0,23.0,94.1
14,Memphis Grizzlies,82,241.2,38.0,83.3,.457,4.9,13.6,.358,33.2,69.7,.476,16.4,21.8,.753,13.8,31.2,45.1,23.9,9.5,5.6,14.7,21.8,97.3
15,Miami Heat,82,243.0,32.5,76.6,.425,4.6,13.5,.342,27.9,63.0,.442,19.1,25.9,.736,10.9,30.3,41.2,17.8,7.6,4.3,13.8,20.8,88.7
16,Milwaukee Bucks,82,242.7,36.8,83.5,.441,6.0,16.8,.358,30.8,66.7,.461,18.2,24.0,.757,12.8,29.7,42.5,23.0,7.3,4.4,12.9,20.0,97.7
17,Minnesota Timberwolves*,82,241.5,36.1,81.1,.445,6.0,16.1,.372,30.1,65.0,.463,17.7,23.9,.742,11.1,28.4,39.5,22.6,6.6,5.0,13.4,20.4,96.0
18,New Jersey Nets*,82,241.8,34.9,81.3,.429,5.0,14.3,.348,29.9,67.0,.446,17.4,23.0,.753,12.2,30.7,42.9,19.1,8.2,5.4,16.1,20.3,92.0
19,New York Knicks,82,241.5,35.7,80.1,.445,5.4,15.3,.353,30.3,64.8,.467,18.9,25.0,.757,11.7,31.0,42.7,21.5,8.4,4.7,13.5,20.4,95.6
20,Orlando Magic*,82,241.8,38.0,83.3,.456,5.0,14.2,.352,33.0,69.1,.478,17.9,24.3,.737,13.2,32.1,45.4,23.5,8.0,4.7,15.8,21.2,98.9
21,Philadelphia 76ers*,82,240.6,33.8,79.3,.426,5.3,16.1,.331,28.5,63.1,.451,16.5,21.9,.751,12.0,28.6,40.6,21.6,8.0,5.6,14.7,22.3,89.4
22,Phoenix Suns,82,241.8,36.1,81.3,.444,5.3,14.7,.358,30.8,66.5,.463,18.4,24.5,.751,12.6,30.4,43.0,22.2,8.4,5.8,15.4,18.5,95.8
