,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Philadelphia 76ers,27.3,7,5,0.583,9,3,116,108.5,7.5,100.2,0.342,0.331,0.589,,0.561,11.5,21.3,0.234,,0.502,11.2,78.8,0.235
2,Brooklyn Nets,28.7,7,5,0.583,8,4,116.1,109.6,6.5,96.1,0.235,0.413,0.592,,0.551,10.9,19.7,0.204,,0.502,11.6,75,0.19
3,Milwaukee Bucks,29.2,16,7,0.696,15,8,112.9,107.6,5.3,96.9,0.228,0.384,0.55,,0.524,11.3,27.8,0.164,,0.523,12.2,81.6,0.16
4,Phoenix Suns,26.6,14,8,0.636,14,8,114.7,110,4.7,95.1,0.219,0.35,0.585,,0.547,11.3,19.6,0.188,,0.507,10.9,76.1,0.194
5,Los Angeles Clippers,29.3,10,9,0.526,12,7,120.2,115.9,4.3,92.8,0.29,0.444,0.604,,0.562,10.4,21.5,0.238,,0.543,11.1,76.9,0.173
6,Utah Jazz,28.6,6,5,0.545,5,6,121.4,122.3,-0.9,96.3,0.288,0.518,0.616,,0.579,12.4,23.7,0.231,,0.562,9.6,76.7,0.208
7,Portland Trail Blazers,28.5,2,4,0.333,3,3,121.6,122.9,-1.3,95,0.257,0.443,0.608,,0.567,10.7,22.2,0.219,,0.555,9.9,73.5,0.216
8,Atlanta Hawks,25.6,10,8,0.556,8,10,109.8,111.3,-1.5,96.8,0.241,0.394,0.554,,0.516,11.5,20.9,0.192,,0.52,11.6,75,0.197
9,Dallas Mavericks,26.2,3,4,0.429,2,5,115.5,121.1,-5.6,91.8,0.233,0.407,0.559,,0.534,10.4,23.7,0.164,,0.571,10.9,77.4,0.246
10,Denver Nuggets,26.3,4,6,0.4,3,7,116.8,122.4,-5.6,96.3,0.227,0.418,0.566,,0.536,9.9,25.1,0.172,,0.576,10.6,79.6,0.223
11,Los Angeles Lakers,29.1,2,4,0.333,2,4,104,110.9,-6.9,93.8,0.295,0.396,0.52,,0.473,12.9,23.7,0.229,,0.53,12.1,80.3,0.212
12,New York Knicks,27.3,1,4,0.2,1,4,103.5,111,-7.5,93.7,0.252,0.352,0.505,,0.458,11.3,24.6,0.206,,0.519,10.4,81.2,0.189
13,Memphis Grizzlies,24,1,4,0.2,1,4,115.6,124,-8.4,99.5,0.216,0.335,0.556,,0.523,9.1,23.8,0.172,,0.586,12.2,75.4,0.257
14,Boston Celtics,25,1,4,0.2,1,4,117.1,128.7,-11.6,95.8,0.311,0.415,0.56,,0.508,11.5,28.8,0.256,,0.582,10.6,73.5,0.296
15,Washington Wizards,27.4,1,4,0.2,1,4,107.6,121.3,-13.7,102.2,0.327,0.273,0.543,,0.498,11.7,23.1,0.246,,0.575,10.3,77.4,0.234
16,Miami Heat,28.8,0,4,0,0,4,96.6,116.8,-20.2,98.9,0.227,0.401,0.499,,0.462,12.5,17.1,0.174,,0.538,12.6,68.6,0.177
,League Average,27.6,,,,5,5,114.3,114.3,,96.1,0.256,0.395,0.571,,0.534,11.2,22.8,0.201,,0.534,11.2,77.2,0.201
