,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,
Rk,Team▲,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Atlanta Hawks,26.2,33,39,33,39,-1.29,-0.36,-1.65,118.3,119.5,-1.2,100.2,.257,.406,.578,,.540,11.4,27.7,.206,,.571,12.4,74.5,.190,,State Farm Arena,609869,16941
2,Boston Celtics,28.3,57,15,58,14,11.54,-0.40,11.14,123.5,111.7,+11.8,97.4,.232,.473,.610,,.578,10.8,25.0,.187,,.524,10.7,76.5,.149,,TD Garden,670460,19156
3,Brooklyn Nets,26.3,28,45,31,42,-2.51,-0.07,-2.57,113.6,116.2,-2.6,97.0,.231,.415,.563,,.532,11.7,25.2,.175,,.545,11.6,76.0,.198,,Barclays Center,613307,17523
4,Charlotte Hornets,25.2,18,54,15,57,-10.43,-0.26,-10.69,108.8,119.5,-10.7,97.4,.211,.382,.556,,.525,12.6,21.8,.165,,.571,12.4,74.9,.194,,Spectrum Center,555170,16329
5,Chicago Bulls,28.0,35,38,33,40,-1.40,-0.33,-1.73,114.7,116.1,-1.4,96.3,.237,.362,.567,,.532,10.9,24.8,.189,,.554,12.6,76.0,.195,,United Center,781259,20559
6,Cleveland Cavaliers,26.2,44,29,44,29,3.27,-0.43,2.84,115.3,112.0,+3.3,97.0,.235,.427,.585,,.556,12.3,23.4,.179,,.528,12.1,77.0,.192,,Rocket Mortgage Fieldhouse,715439,19432
7,Dallas Mavericks,26.4,43,29,41,31,2.19,0.17,2.36,118.6,116.4,+2.2,100.2,.254,.438,.594,,.564,10.9,22.4,.192,,.550,12.1,74.7,.189,,American Airlines Center,747670,20207
8,Denver Nuggets,27.0,51,22,47,26,4.67,0.07,4.74,118.4,113.6,+4.8,96.6,.226,.348,.588,,.560,11.4,25.7,.173,,.528,11.3,75.2,.195,,Ball Arena,708372,19677
9,Detroit Pistons,23.8,12,61,18,55,-9.15,0.48,-8.67,110.4,119.5,-9.1,100.0,.250,.360,.565,,.528,13.6,24.6,.197,,.559,10.7,77.8,.229,,Little Caesars Arena,686366,18062
