Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks,72,241.4,43.2,92.6,.466,13.8,37.6,.366,29.4,55.0,.535,19.1,23.8,.803,12.8,31.9,44.7,26.5,7.6,4.6,13.3,18.4,119.2
2,Boston Celtics,72,241.7,43.8,90.2,.486,16.6,42.6,.390,27.2,47.6,.572,16.9,20.9,.807,10.7,35.7,46.4,26.6,6.6,6.5,12.0,16.5,121.1
3,Brooklyn Nets,73,241.7,41.0,89.6,.457,13.4,37.2,.362,27.5,52.4,.525,15.7,20.7,.759,11.5,32.4,43.9,26.2,6.9,5.1,13.0,18.7,111.0
4,Charlotte Hornets,72,240.7,40.1,87.5,.458,11.8,33.5,.351,28.3,54.1,.524,14.4,18.5,.781,9.7,31.0,40.7,24.5,6.8,4.5,13.8,18.2,106.3
5,Chicago Bulls,73,243.8,41.8,89.6,.467,11.6,32.5,.358,30.2,57.1,.529,16.9,21.2,.795,11.0,32.5,43.6,25.1,7.6,4.8,12.1,18.8,112.2
6,Cleveland Cavaliers,73,241.7,41.7,87.2,.478,13.6,37.3,.366,28.1,49.9,.562,15.6,20.5,.762,10.0,33.9,43.8,27.9,7.2,4.7,13.5,18.0,112.7
7,Dallas Mavericks,72,240.0,43.4,89.9,.483,14.6,39.4,.370,28.9,50.5,.571,17.3,22.8,.758,9.8,32.8,42.6,25.8,6.9,4.7,12.3,18.6,118.8
8,Denver Nuggets,73,240.3,43.9,88.7,.495,11.4,30.9,.370,32.5,57.8,.562,15.3,20.0,.766,10.8,33.4,44.2,29.2,7.1,5.5,12.5,18.1,114.6
9,Detroit Pistons,73,241.0,41.2,88.4,.466,11.1,31.8,.349,30.1,56.6,.531,17.4,22.1,.788,10.8,33.0,43.8,25.9,6.2,4.7,15.4,21.3,110.8
10,Golden State Warriors,72,242.1,43.7,92.3,.473,14.7,39.3,.375,28.9,52.9,.546,16.0,20.6,.777,12.4,34.4,46.8,29.1,6.8,4.4,14.2,19.8,118.0
11,Houston Rockets,72,242.1,41.9,90.8,.461,12.5,35.4,.353,29.3,55.4,.530,18.2,23.5,.774,11.4,34.6,46.0,24.8,7.7,4.6,12.9,21.0,114.4
12,Indiana Pacers,74,240.3,46.7,92.5,.505,13.3,35.3,.376,33.5,57.2,.585,16.2,20.9,.776,10.0,31.3,41.4,30.6,7.7,5.8,13.0,21.5,122.9
13,Los Angeles Clippers,72,240.3,42.5,86.5,.492,12.9,33.3,.387,29.7,53.2,.558,18.4,22.4,.820,9.9,32.5,42.4,25.8,7.8,5.2,13.0,18.5,116.3
