Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,Age,W%,PW%,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA
Atlanta Hawks 2024,43.2,92.6,0.466,13.8,37.6,0.366,29.4,55.0,0.535,19.1,23.8,0.803,12.8,31.9,44.7,26.5,7.6,4.6,13.3,18.4,119.2,44.7,90.4,0.494,14.0,36.4,0.384,30.7,54.0,0.569,17.2,21.9,0.787,10.9,33.3,44.3,28.3,7.6,5.7,14.2,19.6,120.5,26.2,0.4583333333333333,0.4583333333333333,-1.29,-0.36,-1.65,118.3,119.5,-1.2,100.2,0.257,0.406,0.578,0.54,11.4,27.7,0.206,0.571,12.4,74.5,0.19
Boston Celtics 2024,43.8,90.2,0.486,16.6,42.6,0.39,27.2,47.6,0.572,16.9,20.9,0.807,10.7,35.7,46.4,26.6,6.6,6.5,12.0,16.5,121.1,41.5,91.6,0.454,12.8,36.6,0.35,28.7,55.0,0.523,13.7,17.8,0.767,11.0,32.2,43.2,24.9,6.2,3.7,11.9,17.9,109.6,28.3,0.7916666666666666,0.8055555555555556,11.54,-0.4,11.14,123.5,111.7,11.8,97.4,0.232,0.473,0.61,0.578,10.8,25.0,0.187,0.524,10.7,76.5,0.149
Brooklyn Nets 2024,41.0,89.6,0.457,13.4,37.2,0.362,27.5,52.4,0.525,15.7,20.7,0.759,11.5,32.4,43.9,26.2,6.9,5.1,13.0,18.7,111.0,41.6,88.2,0.471,12.9,34.6,0.373,28.7,53.6,0.535,17.5,21.6,0.808,10.2,34.0,44.2,25.4,6.8,4.8,12.8,18.2,113.5,26.3,0.3835616438356164,0.4246575342465753,-2.51,-0.07,-2.57,113.6,116.2,-2.6,97.0,0.231,0.415,0.563,0.532,11.7,25.2,0.175,0.545,11.6,76.0,0.198
Charlotte Hornets 2024,40.1,87.5,0.458,11.8,33.5,0.351,28.3,54.1,0.524,14.4,18.5,0.781,9.7,31.0,40.7,24.5,6.8,4.5,13.8,18.2,106.3,43.1,87.4,0.494,13.5,35.9,0.377,29.6,51.5,0.575,16.9,21.2,0.799,10.4,34.9,45.3,28.5,7.1,5.0,13.7,17.5,116.8,25.2,0.25,0.20833333333333334,-10.43,-0.26,-10.69,108.8,119.5,-10.7,97.4,0.211,0.382,0.556,0.525,12.6,21.8,0.165,0.571,12.4,74.9,0.194
Chicago Bulls 2024,41.8,89.6,0.467,11.6,32.5,0.358,30.2,57.1,0.529,16.9,21.2,0.795,11.0,32.5,43.6,25.1,7.6,4.8,12.1,18.8,112.2,41.0,87.2,0.47,14.5,39.8,0.365,26.5,47.4,0.559,17.0,21.8,0.781,10.3,33.5,43.8,28.0,6.7,5.0,14.0,19.0,113.6,28.0,0.4794520547945205,0.4520547945205479,-1.4,-0.33,-1.73,114.7,116.1,-1.4,96.3,0.237,0.362,0.567,0.532,10.9,24.8,0.189,0.554,12.6,76.0,0.195
Cleveland Cavaliers 2024,41.7,87.2,0.478,13.6,37.3,0.366,28.1,49.9,0.562,15.6,20.5,0.762,10.0,33.9,43.8,27.9,7.2,4.7,13.5,18.0,112.7,40.2,87.6,0.459,12.1,33.6,0.361,28.1,54.0,0.52,16.8,21.5,0.784,10.1,32.5,42.6,24.6,7.6,4.9,13.4,18.8,109.4,26.2,0.6027397260273972,0.6027397260273972,3.27,-0.43,2.84,115.3,112.0,3.3,97.0,0.235,0.427,0.585,0.556,12.3,23.4,0.179,0.528,12.1,77.0,0.192
Dallas Mavericks 2024,43.4,89.9,0.483,14.6,39.4,0.37,28.9,50.5,0.571,17.3,22.8,0.758,9.8,32.8,42.6,25.8,6.9,4.7,12.3,18.6,118.8,43.2,90.4,0.478,13.1,35.8,0.367,30.1,54.6,0.551,17.1,22.2,0.769,11.1,33.9,45.0,27.7,7.2,4.1,13.7,20.5,116.6,26.4,0.5972222222222222,0.5694444444444444,2.19,0.17,2.36,118.6,116.4,2.2,100.2,0.254,0.438,0.594,0.564,10.9,22.4,0.192,0.55,12.1,74.7,0.189
Denver Nuggets 2024,43.9,88.7,0.495,11.4,30.9,0.37,32.5,57.8,0.562,15.3,20.0,0.766,10.8,33.4,44.2,29.2,7.1,5.5,12.5,18.1,114.6,40.8,87.9,0.464,11.3,31.4,0.359,29.5,56.5,0.522,17.1,22.0,0.776,11.0,31.3,42.2,25.7,7.1,4.8,12.4,18.0,109.9,27.0,0.6986301369863014,0.6438356164383562,4.67,0.07,4.74,118.4,113.6,4.8,96.6,0.226,0.348,0.588,0.56,11.4,25.7,0.173,0.528,11.3,75.2,0.195
Detroit Pistons 2024,41.2,88.4,0.466,11.1,31.8,0.349,30.1,56.6,0.531,17.4,22.1,0.788,10.8,33.0,43.8,25.9,6.2,4.7,15.4,21.3,110.8,43.7,89.1,0.491,12.2,32.7,0.372,31.6,56.4,0.56,20.4,25.4,0.802,9.4,33.1,42.5,27.1,8.9,5.9,12.1,18.1,120.0,23.8,0.1643835616438356,0.2465753424657534,-9.15,0.48,-8.67,110.4,119.5,-9.1,100.0,0.25,0.36,0.565,0.528,13.6,24.6,0.197,0.559,10.7,77.8,0.229
Golden State Warriors 2024,43.7,92.3,0.473,14.7,39.3,0.375,28.9,52.9,0.546,16.0,20.6,0.777,12.4,34.4,46.8,29.1,6.8,4.4,14.2,19.8,118.0,42.5,90.7,0.468,13.2,36.8,0.359,29.3,53.8,0.543,18.0,22.8,0.789,10.8,32.4,43.3,26.8,7.7,5.0,12.9,18.4,116.2,28.4,0.5277777777777778,0.5555555555555556,1.88,0.45,2.33,117.6,115.8,1.8,99.5,0.223,0.426,0.583,0.553,12.3,27.6,0.173,0.541,11.4,76.0,0.199
Houston Rockets 2024,41.9,90.8,0.461,12.5,35.4,0.353,29.3,55.4,0.53,18.2,23.5,0.774,11.4,34.6,46.0,24.8,7.7,4.6,12.9,21.0,114.4,40.6,88.2,0.46,12.3,35.5,0.346,28.3,52.7,0.537,19.2,25.4,0.755,10.7,34.0,44.7,24.3,7.3,5.9,13.6,19.8,112.6,25.1,0.5138888888888888,0.5555555555555556,1.89,0.05,1.94,114.5,112.6,1.9,99.1,0.259,0.39,0.566,0.53,11.3,25.2,0.2,0.529,12.1,76.4,0.217
Indiana Pacers 2024,46.7,92.5,0.505,13.3,35.3,0.376,33.5,57.2,0.585,16.2,20.9,0.776,10.0,31.3,41.4,30.6,7.7,5.8,13.0,21.5,122.9,44.8,89.9,0.499,10.9,29.3,0.371,34.0,60.6,0.561,20.4,25.9,0.787,11.0,32.6,43.6,24.8,6.7,5.5,14.0,18.5,120.9,25.3,0.5540540540540541,0.5540540540540541,1.99,-0.18,1.81,120.5,118.5,2.0,101.9,0.226,0.382,0.605,0.577,11.4,23.5,0.175,0.559,12.1,74.1,0.227
Los Angeles Clippers 2024,42.5,86.5,0.492,12.9,33.3,0.387,29.7,53.2,0.558,18.4,22.4,0.82,9.9,32.5,42.4,25.8,7.8,5.2,13.0,18.5,116.3,41.8,88.7,0.472,13.0,35.1,0.37,28.8,53.6,0.538,16.2,20.9,0.776,11.1,30.8,41.9,26.5,7.1,4.6,13.0,19.2,112.9,30.5,0.625,0.6111111111111112,3.47,0.15,3.63,119.7,116.2,3.5,97.0,0.259,0.385,0.604,0.567,11.9,24.3,0.213,0.545,11.7,74.6,0.183
Los Angeles Lakers 2024,43.7,87.6,0.498,11.8,31.0,0.38,31.9,56.6,0.563,19.0,24.4,0.78,8.1,34.9,43.0,28.6,7.3,5.6,13.7,15.8,118.1,44.6,94.2,0.473,14.2,38.0,0.373,30.4,56.2,0.541,14.5,18.2,0.797,11.1,33.2,44.4,28.5,8.0,4.8,13.1,19.9,117.8,27.9,0.5616438356164384,0.5068493150684932,0.27,0.61,0.88,116.0,115.7,0.3,100.8,0.278,0.354,0.601,0.566,12.2,19.6,0.217,0.548,11.4,75.8,0.154
Memphis Grizzlies 2024,38.3,87.7,0.436,13.4,38.5,0.347,24.9,49.2,0.506,16.2,21.4,0.76,10.5,31.7,42.2,24.9,8.0,6.2,15.1,19.2,106.1,41.4,87.4,0.474,13.3,35.2,0.379,28.1,52.2,0.539,16.9,21.7,0.779,10.7,35.1,45.8,26.6,8.1,6.4,14.9,19.1,113.1,24.5,0.3287671232876712,0.2876712328767123,-6.97,0.62,-6.35,107.3,114.4,-7.1,98.3,0.244,0.44,0.547,0.513,13.5,23.0,0.185,0.55,13.3,74.8,0.193
Miami Heat 2024,39.6,85.6,0.462,12.2,33.3,0.367,27.3,52.4,0.522,18.0,22.1,0.814,9.4,32.7,42.1,25.6,7.4,3.3,12.5,17.4,109.3,40.3,85.7,0.471,13.3,36.7,0.361,27.1,49.0,0.553,15.0,19.4,0.774,9.2,33.7,42.9,26.7,6.6,4.9,13.7,18.9,108.9,28.0,0.5416666666666666,0.5138888888888888,0.4,-0.41,-0.01,113.5,113.0,0.5,96.2,0.258,0.388,0.573,0.533,11.6,21.9,0.21,0.548,12.7,78.0,0.175
Milwaukee Bucks 2024,43.6,89.0,0.49,14.4,38.3,0.377,29.2,50.7,0.576,19.0,24.5,0.774,9.4,34.9,44.2,26.7,6.9,5.0,12.7,19.5,120.6,43.5,92.4,0.47,12.7,35.4,0.359,30.8,57.0,0.54,17.4,21.6,0.805,10.4,33.8,44.2,26.7,6.8,4.2,12.1,19.5,117.0,30.1,0.6388888888888888,0.5972222222222222,3.58,-0.32,3.27,119.4,115.8,3.6,100.3,0.276,0.43,0.605,0.571,11.3,21.7,0.213,0.539,10.6,77.0,0.188
