Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,Age,W%,PW%,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA,W
Atlanta Hawks 2000,36.6,83.0,0.441,3.1,9.9,0.317,33.4,73.1,0.458,18.0,24.2,0.743,14.0,31.3,45.3,18.9,6.1,5.6,15.4,21.0,94.3,39.2,86.1,0.455,4.5,12.4,0.367,34.6,73.7,0.469,16.8,21.9,0.769,12.8,30.2,43.0,23.0,8.0,4.9,12.2,22.3,99.7,27.6,0.34146341463414637,0.3170731707317073,-5.38,-0.04,-5.41,102.0,107.9,-5.9,91.7,0.292,0.12,0.503,0.46,14.1,31.7,0.217,0.481,11.3,71.0,0.196,0.0
Boston Celtics 2000,37.2,83.9,0.444,5.1,15.4,0.331,32.2,68.5,0.469,19.8,26.5,0.745,13.5,29.5,43.0,21.2,9.7,3.5,15.4,27.1,99.3,36.1,76.9,0.47,4.4,12.1,0.361,31.7,64.7,0.49,23.5,31.3,0.753,10.5,30.9,41.4,21.9,7.8,5.8,17.0,23.5,100.1,25.4,0.4268292682926829,0.47560975609756095,-0.76,-0.24,-1.0,104.8,105.6,-0.8,94.6,0.316,0.183,0.52,0.474,13.8,30.4,0.236,0.498,15.8,73.8,0.306,0.0
Charlotte Hornets 2000,35.8,79.7,0.449,4.1,12.2,0.339,31.7,67.5,0.469,22.7,30.0,0.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4,37.2,83.1,0.448,5.0,13.2,0.378,32.2,69.8,0.461,16.4,22.0,0.745,11.8,31.1,42.9,23.2,7.4,5.1,15.8,25.3,95.8,28.7,0.5975609756097561,0.5975609756097561,2.67,-0.34,2.33,104.3,101.4,2.9,93.9,0.376,0.153,0.53,0.475,13.7,25.7,0.285,0.478,14.6,73.2,0.198,1.0
Chicago Bulls 2000,31.3,75.4,0.415,4.1,12.6,0.329,27.1,62.8,0.432,18.1,25.5,0.709,12.6,28.3,40.9,20.1,7.9,4.7,19.0,23.3,84.8,35.6,78.0,0.456,4.4,12.8,0.341,31.2,65.2,0.478,18.7,25.2,0.741,12.2,29.5,41.7,23.2,10.4,5.6,15.2,24.0,94.2,26.0,0.2073170731707317,0.18292682926829268,-9.4,0.17,-9.23,94.2,104.6,-10.4,89.4,0.338,0.167,0.49,0.443,18.0,29.9,0.24,0.484,14.5,69.9,0.24,0.0
Cleveland Cavaliers 2000,36.3,82.1,0.442,4.2,11.2,0.373,32.1,70.9,0.453,20.2,26.9,0.75,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1,97.0,36.4,82.1,0.443,5.1,15.0,0.342,31.3,67.2,0.465,22.6,29.1,0.776,12.4,31.5,43.9,23.7,8.0,6.1,16.9,25.1,100.5,27.2,0.3902439024390244,0.3780487804878049,-3.5,-0.14,-3.64,100.4,104.0,-3.6,95.7,0.327,0.136,0.516,0.468,15.6,28.1,0.245,0.474,15.1,71.2,0.275,0.0
Dallas Mavericks 2000,39.0,85.9,0.453,6.3,16.2,0.391,32.6,69.8,0.468,17.2,21.4,0.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,101.4,39.3,86.0,0.457,5.2,15.2,0.345,34.1,70.8,0.481,18.1,24.5,0.74,15.3,33.2,48.4,23.2,7.4,5.1,16.1,22.1,102.0,26.3,0.4878048780487805,0.47560975609756095,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,0.248,0.188,0.532,0.49,12.6,25.5,0.2,0.488,14.2,66.1,0.21,0.0
Denver Nuggets 2000,37.3,84.3,0.442,5.7,17.0,0.336,31.5,67.2,0.469,18.7,25.8,0.724,13.1,31.6,44.7,23.3,6.8,7.5,15.6,23.9,99.0,38.2,84.8,0.45,4.9,13.7,0.354,33.3,71.1,0.469,19.9,26.5,0.751,12.5,31.8,44.3,24.4,7.5,5.6,14.4,23.6,101.1,25.9,0.4268292682926829,0.4268292682926829,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,0.306,0.202,0.517,0.476,14.0,29.2,0.222,0.479,13.0,71.6,0.235,0.0
Detroit Pistons 2000,37.1,80.9,0.459,5.4,14.9,0.359,31.8,66.0,0.481,23.9,30.6,0.781,11.2,30.0,41.2,20.8,8.1,3.3,15.7,24.5,103.5,38.0,81.8,0.465,5.6,15.0,0.371,32.5,66.7,0.486,20.4,27.3,0.746,11.9,30.5,42.4,23.1,8.0,4.8,17.1,27.1,102.0,28.3,0.5121951219512195,0.5487804878048781,1.44,-0.31,1.13,107.3,105.8,1.5,95.7,0.378,0.184,0.548,0.492,14.3,26.8,0.295,0.499,15.4,71.6,0.249,0.0
Golden State Warriors 2000,36.5,87.1,0.42,4.2,13.0,0.323,32.3,74.0,0.437,18.3,26.2,0.697,15.9,29.7,45.6,22.6,8.9,4.3,15.9,24.9,95.5,38.6,82.6,0.467,5.2,14.2,0.367,33.4,68.5,0.488,21.4,28.4,0.754,13.3,32.8,46.1,24.8,8.4,6.0,16.3,23.0,103.8,26.9,0.23170731707317074,0.24390243902439024,-8.27,0.64,-7.63,99.8,108.4,-8.6,95.4,0.301,0.15,0.484,0.444,13.9,32.6,0.21,0.499,14.6,69.1,0.259,0.0
Houston Rockets 2000,36.6,81.3,0.45,7.1,19.8,0.358,29.5,61.5,0.48,19.2,26.2,0.733,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3,99.5,39.3,86.3,0.456,4.3,12.1,0.354,35.1,74.2,0.473,17.4,22.3,0.779,12.5,29.9,42.4,22.7,9.0,5.3,13.7,22.4,100.3,26.3,0.4146341463414634,0.47560975609756095,-0.87,0.3,-0.57,104.8,105.7,-0.9,94.2,0.322,0.244,0.536,0.494,15.8,29.1,0.236,0.481,12.5,71.6,0.201,0.0
